,Quarter,HB_x,HBT,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,HBName,HBDateArchived,Country
0,2012Q1,S08000015,S08000015,Breast,78.0,78.0,NHS Ayrshire and Arran,,S92000003
1,2012Q1,S08000015,S08000015,Cervical,4.0,4.0,NHS Ayrshire and Arran,,S92000003
2,2012Q1,S08000015,S08000015,Colorectal,53.0,53.0,NHS Ayrshire and Arran,,S92000003
3,2012Q1,S08000015,S08000015,Head & Neck,11.0,11.0,NHS Ayrshire and Arran,,S92000003
4,2012Q1,S08000015,S08000015,Lung,52.0,52.0,NHS Ayrshire and Arran,,S92000003
5,2012Q1,S08000015,S08000015,Lymphoma,25.0,25.0,NHS Ayrshire and Arran,,S92000003
6,2012Q1,S08000015,S08000015,Melanoma,15.0,15.0,NHS Ayrshire and Arran,,S92000003
7,2012Q1,S08000015,S08000015,Ovarian,6.0,6.0,NHS Ayrshire and Arran,,S92000003
8,2012Q1,S08000015,S08000015,Upper GI,26.0,26.0,NHS Ayrshire and Arran,,S92000003
9,2012Q1,S08000015,S08000015,Urological,65.0,63.0,NHS Ayrshire and Arran,,S92000003
10,2012Q2,S08000015,S08000015,Breast,97.0,97.0,NHS Ayrshire and Arran,,S92000003
11,2012Q2,S08000015,S08000015,Cervical,4.0,4.0,NHS Ayrshire and Arran,,S92000003
12,2012Q2,S08000015,S08000015,Colorectal,48.0,46.0,NHS Ayrshire and Arran,,S92000003
13,2012Q2,S08000015,S08000015,Head & Neck,16.0,15.0,NHS Ayrshire and Arran,,S92000003
14,2012Q2,S08000015,S08000015,Lung,49.0,49.0,NHS Ayrshire and Arran,,S92000003
15,2012Q2,S08000015,S08000015,Lymphoma,20.0,20.0,NHS Ayrshire and Arran,,S92000003
16,2012Q2,S08000015,S08000015,Melanoma,9.0,9.0,NHS Ayrshire and Arran,,S92000003
17,2012Q2,S08000015,S08000015,Ovarian,11.0,11.0,NHS Ayrshire and Arran,,S92000003
18,2012Q2,S08000015,S08000015,Upper GI,30.0,30.0,NHS Ayrshire and Arran,,S92000003
19,2012Q2,S08000015,S08000015,Urological,62.0,62.0,NHS Ayrshire and Arran,,S92000003
20,2012Q3,S08000015,S08000015,Breast,100.0,100.0,NHS Ayrshire and Arran,,S92000003
21,2012Q3,S08000015,S08000015,Cervical,6.0,6.0,NHS Ayrshire and Arran,,S92000003
22,2012Q3,S08000015,S08000015,Colorectal,52.0,51.0,NHS Ayrshire and Arran,,S92000003
23,2012Q3,S08000015,S08000015,Head & Neck,20.0,20.0,NHS Ayrshire and Arran,,S92000003
24,2012Q3,S08000015,S08000015,Lung,55.0,55.0,NHS Ayrshire and Arran,,S92000003
25,2012Q3,S08000015,S08000015,Lymphoma,12.0,12.0,NHS Ayrshire and Arran,,S92000003
26,2012Q3,S08000015,S08000015,Melanoma,26.0,26.0,NHS Ayrshire and Arran,,S92000003
27,2012Q3,S08000015,S08000015,Ovarian,11.0,11.0,NHS Ayrshire and Arran,,S92000003
28,2012Q3,S08000015,S08000015,Upper GI,22.0,22.0,NHS Ayrshire and Arran,,S92000003
29,2012Q3,S08000015,S08000015,Urological,66.0,66.0,NHS Ayrshire and Arran,,S92000003
30,2012Q4,S08000015,S08000015,Breast,84.0,84.0,NHS Ayrshire and Arran,,S92000003
31,2012Q4,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,,S92000003
32,2012Q4,S08000015,S08000015,Colorectal,73.0,70.0,NHS Ayrshire and Arran,,S92000003
33,2012Q4,S08000015,S08000015,Head & Neck,11.0,10.0,NHS Ayrshire and Arran,,S92000003
34,2012Q4,S08000015,S08000015,Lung,50.0,50.0,NHS Ayrshire and Arran,,S92000003
35,2012Q4,S08000015,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,,S92000003
36,2012Q4,S08000015,S08000015,Melanoma,15.0,15.0,NHS Ayrshire and Arran,,S92000003
37,2012Q4,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,,S92000003
38,2012Q4,S08000015,S08000015,Upper GI,29.0,29.0,NHS Ayrshire and Arran,,S92000003
39,2012Q4,S08000015,S08000015,Urological,88.0,88.0,NHS Ayrshire and Arran,,S92000003
40,2013Q1,S08000015,S08000015,Breast,88.0,88.0,NHS Ayrshire and Arran,,S92000003
41,2013Q1,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,,S92000003
42,2013Q1,S08000015,S08000015,Colorectal,58.0,58.0,NHS Ayrshire and Arran,,S92000003
43,2013Q1,S08000015,S08000015,Head & Neck,18.0,17.0,NHS Ayrshire and Arran,,S92000003
44,2013Q1,S08000015,S08000015,Lung,51.0,50.0,NHS Ayrshire and Arran,,S92000003
45,2013Q1,S08000015,S08000015,Lymphoma,10.0,10.0,NHS Ayrshire and Arran,,S92000003
46,2013Q1,S08000015,S08000015,Melanoma,17.0,17.0,NHS Ayrshire and Arran,,S92000003
47,2013Q1,S08000015,S08000015,Ovarian,3.0,3.0,NHS Ayrshire and Arran,,S92000003
48,2013Q1,S08000015,S08000015,Upper GI,33.0,33.0,NHS Ayrshire and Arran,,S92000003
49,2013Q1,S08000015,S08000015,Urological,91.0,88.0,NHS Ayrshire and Arran,,S92000003
50,2013Q2,S08000015,S08000015,Breast,93.0,93.0,NHS Ayrshire and Arran,,S92000003
51,2013Q2,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,,S92000003
52,2013Q2,S08000015,S08000015,Colorectal,61.0,58.0,NHS Ayrshire and Arran,,S92000003
53,2013Q2,S08000015,S08000015,Head & Neck,22.0,19.0,NHS Ayrshire and Arran,,S92000003
