,Quarter,HB_x,HBT,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,HBName,Country
0,2012Q1,S08000015,S08000015,Breast,52.0,52.0,NHS Ayrshire and Arran,S92000003
1,2012Q1,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
2,2012Q1,S08000015,S08000015,Colorectal,31.0,29.0,NHS Ayrshire and Arran,S92000003
3,2012Q1,S08000015,S08000015,Head & Neck,2.0,2.0,NHS Ayrshire and Arran,S92000003
4,2012Q1,S08000015,S08000015,Lung,34.0,33.0,NHS Ayrshire and Arran,S92000003
5,2012Q1,S08000015,S08000015,Lymphoma,10.0,9.0,NHS Ayrshire and Arran,S92000003
6,2012Q1,S08000015,S08000015,Melanoma,2.0,2.0,NHS Ayrshire and Arran,S92000003
7,2012Q1,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
8,2012Q1,S08000015,S08000015,Upper GI,22.0,22.0,NHS Ayrshire and Arran,S92000003
9,2012Q1,S08000015,S08000015,Urological,12.0,11.0,NHS Ayrshire and Arran,S92000003
10,2012Q2,S08000015,S08000015,Breast,70.0,70.0,NHS Ayrshire and Arran,S92000003
11,2012Q2,S08000015,S08000015,Cervical,3.0,3.0,NHS Ayrshire and Arran,S92000003
12,2012Q2,S08000015,S08000015,Colorectal,32.0,30.0,NHS Ayrshire and Arran,S92000003
13,2012Q2,S08000015,S08000015,Head & Neck,4.0,4.0,NHS Ayrshire and Arran,S92000003
14,2012Q2,S08000015,S08000015,Lung,41.0,40.0,NHS Ayrshire and Arran,S92000003
15,2012Q2,S08000015,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
16,2012Q2,S08000015,S08000015,Ovarian,7.0,7.0,NHS Ayrshire and Arran,S92000003
17,2012Q2,S08000015,S08000015,Upper GI,22.0,21.0,NHS Ayrshire and Arran,S92000003
18,2012Q2,S08000015,S08000015,Urological,19.0,17.0,NHS Ayrshire and Arran,S92000003
19,2012Q3,S08000015,S08000015,Breast,79.0,79.0,NHS Ayrshire and Arran,S92000003
20,2012Q3,S08000015,S08000015,Cervical,5.0,4.0,NHS Ayrshire and Arran,S92000003
21,2012Q3,S08000015,S08000015,Colorectal,26.0,22.0,NHS Ayrshire and Arran,S92000003
22,2012Q3,S08000015,S08000015,Head & Neck,3.0,3.0,NHS Ayrshire and Arran,S92000003
23,2012Q3,S08000015,S08000015,Lung,33.0,33.0,NHS Ayrshire and Arran,S92000003
24,2012Q3,S08000015,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
25,2012Q3,S08000015,S08000015,Melanoma,7.0,7.0,NHS Ayrshire and Arran,S92000003
26,2012Q3,S08000015,S08000015,Ovarian,6.0,6.0,NHS Ayrshire and Arran,S92000003
27,2012Q3,S08000015,S08000015,Upper GI,17.0,17.0,NHS Ayrshire and Arran,S92000003
28,2012Q3,S08000015,S08000015,Urological,20.0,19.0,NHS Ayrshire and Arran,S92000003
29,2012Q4,S08000015,S08000015,Breast,70.0,70.0,NHS Ayrshire and Arran,S92000003
30,2012Q4,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
31,2012Q4,S08000015,S08000015,Colorectal,50.0,45.0,NHS Ayrshire and Arran,S92000003
32,2012Q4,S08000015,S08000015,Head & Neck,6.0,6.0,NHS Ayrshire and Arran,S92000003
33,2012Q4,S08000015,S08000015,Lung,40.0,39.0,NHS Ayrshire and Arran,S92000003
34,2012Q4,S08000015,S08000015,Lymphoma,4.0,3.0,NHS Ayrshire and Arran,S92000003
35,2012Q4,S08000015,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
36,2012Q4,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
37,2012Q4,S08000015,S08000015,Upper GI,17.0,17.0,NHS Ayrshire and Arran,S92000003
38,2012Q4,S08000015,S08000015,Urological,24.0,23.0,NHS Ayrshire and Arran,S92000003
39,2013Q1,S08000015,S08000015,Breast,72.0,72.0,NHS Ayrshire and Arran,S92000003
40,2013Q1,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
41,2013Q1,S08000015,S08000015,Colorectal,31.0,28.0,NHS Ayrshire and Arran,S92000003
42,2013Q1,S08000015,S08000015,Head & Neck,11.0,11.0,NHS Ayrshire and Arran,S92000003
43,2013Q1,S08000015,S08000015,Lung,37.0,37.0,NHS Ayrshire and Arran,S92000003
44,2013Q1,S08000015,S08000015,Lymphoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
45,2013Q1,S08000015,S08000015,Melanoma,9.0,9.0,NHS Ayrshire and Arran,S92000003
46,2013Q1,S08000015,S08000015,Ovarian,3.0,3.0,NHS Ayrshire and Arran,S92000003
47,2013Q1,S08000015,S08000015,Upper GI,26.0,26.0,NHS Ayrshire and Arran,S92000003
48,2013Q1,S08000015,S08000015,Urological,35.0,34.0,NHS Ayrshire and Arran,S92000003
49,2013Q2,S08000015,S08000015,Breast,78.0,78.0,NHS Ayrshire and Arran,S92000003
50,2013Q2,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
51,2013Q2,S08000015,S08000015,Colorectal,38.0,36.0,NHS Ayrshire and Arran,S92000003
52,2013Q2,S08000015,S08000015,Head & Neck,9.0,8.0,NHS Ayrshire and Arran,S92000003
53,2013Q2,S08000015,S08000015,Lung,55.0,54.0,NHS Ayrshire and Arran,S92000003
54,2013Q2,S08000015,S08000015,Lymphoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
55,2013Q2,S08000015,S08000015,Melanoma,7.0,7.0,NHS Ayrshire and Arran,S92000003
56,2013Q2,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
57,2013Q2,S08000015,S08000015,Upper GI,33.0,33.0,NHS Ayrshire and Arran,S92000003
58,2013Q2,S08000015,S08000015,Urological,35.0,31.0,NHS Ayrshire and Arran,S92000003
59,2013Q3,S08000015,S08000015,Breast,69.0,69.0,NHS Ayrshire and Arran,S92000003
60,2013Q3,S08000015,S08000015,Cervical,4.0,4.0,NHS Ayrshire and Arran,S92000003
61,2013Q3,S08000015,S08000015,Colorectal,38.0,38.0,NHS Ayrshire and Arran,S92000003
62,2013Q3,S08000015,S08000015,Head & Neck,6.0,4.0,NHS Ayrshire and Arran,S92000003
63,2013Q3,S08000015,S08000015,Lung,47.0,47.0,NHS Ayrshire and Arran,S92000003
64,2013Q3,S08000015,S08000015,Lymphoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
65,2013Q3,S08000015,S08000015,Melanoma,9.0,8.0,NHS Ayrshire and Arran,S92000003
66,2013Q3,S08000015,S08000015,Ovarian,3.0,2.0,NHS Ayrshire and Arran,S92000003
67,2013Q3,S08000015,S08000015,Upper GI,21.0,19.0,NHS Ayrshire and Arran,S92000003
68,2013Q3,S08000015,S08000015,Urological,37.0,36.0,NHS Ayrshire and Arran,S92000003
69,2013Q4,S08000015,S08000015,Breast,80.0,80.0,NHS Ayrshire and Arran,S92000003
70,2013Q4,S08000015,S08000015,Colorectal,39.0,38.0,NHS Ayrshire and Arran,S92000003
71,2013Q4,S08000015,S08000015,Head & Neck,4.0,4.0,NHS Ayrshire and Arran,S92000003
72,2013Q4,S08000015,S08000015,Lung,58.0,58.0,NHS Ayrshire and Arran,S92000003
73,2013Q4,S08000015,S08000015,Lymphoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
74,2013Q4,S08000015,S08000015,Melanoma,7.0,7.0,NHS Ayrshire and Arran,S92000003
75,2013Q4,S08000015,S08000015,Ovarian,5.0,5.0,NHS Ayrshire and Arran,S92000003
76,2013Q4,S08000015,S08000015,Upper GI,11.0,11.0,NHS Ayrshire and Arran,S92000003
77,2013Q4,S08000015,S08000015,Urological,43.0,39.0,NHS Ayrshire and Arran,S92000003
78,2014Q1,S08000015,S08000015,Breast,67.0,67.0,NHS Ayrshire and Arran,S92000003
79,2014Q1,S08000015,S08000015,Cervical,3.0,3.0,NHS Ayrshire and Arran,S92000003
80,2014Q1,S08000015,S08000015,Colorectal,32.0,32.0,NHS Ayrshire and Arran,S92000003
81,2014Q1,S08000015,S08000015,Head & Neck,7.0,7.0,NHS Ayrshire and Arran,S92000003
82,2014Q1,S08000015,S08000015,Lung,45.0,45.0,NHS Ayrshire and Arran,S92000003
83,2014Q1,S08000015,S08000015,Lymphoma,4.0,4.0,NHS Ayrshire and Arran,S92000003
84,2014Q1,S08000015,S08000015,Melanoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
85,2014Q1,S08000015,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
86,2014Q1,S08000015,S08000015,Upper GI,20.0,19.0,NHS Ayrshire and Arran,S92000003
87,2014Q1,S08000015,S08000015,Urological,26.0,24.0,NHS Ayrshire and Arran,S92000003
88,2014Q1,S08000016,S08000015,Colorectal,1.0,1.0,NHS Ayrshire and Arran,S92000003
89,2014Q2,S08000015,S08000015,Breast,73.0,73.0,NHS Ayrshire and Arran,S92000003
90,2014Q2,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
91,2014Q2,S08000015,S08000015,Colorectal,38.0,35.0,NHS Ayrshire and Arran,S92000003
92,2014Q2,S08000015,S08000015,Head & Neck,6.0,4.0,NHS Ayrshire and Arran,S92000003
93,2014Q2,S08000015,S08000015,Lung,37.0,36.0,NHS Ayrshire and Arran,S92000003
94,2014Q2,S08000015,S08000015,Lymphoma,8.0,6.0,NHS Ayrshire and Arran,S92000003
95,2014Q2,S08000015,S08000015,Melanoma,9.0,9.0,NHS Ayrshire and Arran,S92000003
96,2014Q2,S08000015,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
97,2014Q2,S08000015,S08000015,Upper GI,22.0,20.0,NHS Ayrshire and Arran,S92000003
98,2014Q2,S08000015,S08000015,Urological,32.0,32.0,NHS Ayrshire and Arran,S92000003
99,2014Q3,S08000015,S08000015,Breast,69.0,66.0,NHS Ayrshire and Arran,S92000003
